GLHead,TotalSpend
Social / Cultural / Educational Program  - S&D,6810151558.17
Equipments - S&D,2353455175.34
PDA Refreshers,2010509502.95
Others - S&D,1909204553.73
Renovation Wards - S&D,918164423.69
Prescription Pads - S&D,817919152.27
Seminars / Symposium / Video Shows - S&D,763000524.99
DM Marketing Expenses,725749663.28
General Procurement,389212590.73
Giveaways - S&D,278654373.75
Folders - S&D,274531734.52
Achievers Conference,265576601.86
Screening - S&D,204206309.77
Annual Conference,200825525.52
Books / Journals / Magazines - S&D,171841089.46
Launching - S&D,137008600.14
A&P Calendars,98472089.97
Idea Generation Meeting,90368305.61
A&P Corporate Communication,86364873.91
General Procurement - MIS,76635176.05
De-duster QTY 4,71176600.0
Coating machine 250 kg QTY 1,68187600.0
Advertisement In Magazine & Others - S&D,57289970.57
A&P HRAB & Digital Marketing,53270131.85
Digital Plant Projects,45086095.03
Manual / Literatures / Photo Copies - S&D,44486095.65
A&P Leadership Development Trainings To Doctors,42353896.5
A&P Corporate Expense,41652934.11
Laptops for HO/Factory,39592199.0
"A&P Corporate Books, Brochure & Video",35814637.0
A&P Discovering Diabetes,35326991.1
A&P Jahan E Maseeha,32608284.0
HPLC X 3 Qty 3,31085555.0
A&P Advertisement (Pulse),29675530.0
A&P PR & Publicity via Media,27647049.0
A&P Corporate Sponsorship,27241304.42
A&P Kids Super Camp,27026399.0
A&P Mushaira,26858371.0
A&P Career Counseling Department,26662379.0
A&P Coffee with Guru,26332935.0
A&P Suno Kahani 2.0,26256974.0
A&P Campus to Corporate Program,26256974.0
A&P EvoTalks,20192074.73
Dissolution Apparatus Qty 2,17121752.0
CSR,16587117.0
Machine Spares  Qty Job,12550563.0
Cleaning / Janitorial / Gardening,12230928.62
Office Supplies,11676960.39
Computers for HO/Factory,11067640.0
SAP New User Liscences,10971694.8
A&P Advertisements (By Md & Other Directors),10723773.0
A&P Read To Lead,10363841.0
A&P Research,8673501.0
A&P Donation And Direct Medical Conference Support,7716838.0
SAP Hardware (Tape Drive/UPS/Data Center Maintenance),7393724.5
Network Equipments (Cables / Patch Codes/ Switches/ WIFI Routers),7100387.36
Physician Sample - S&D,6824410.0
Auto Sampler of TOC analyzer Qty 1,6739826.71
A&P Newspaper Advertisement (Dawn Quotes),6201550.0
Repair & Maintenance Instruments & Equipments,6037505.16
SAP Customization Charges,4807028.0
Solar Panel KGH - HQ,4750000.0
Repair & Maintenance Furniture & Fixture,3850458.0
HO Renovation- 5th Floor & 4th Floor,3199772.68
Electronic Supplies for HO,3088356.0
Printing And Stationery,2782329.5
Incentives - S&D,2117358.35
Evotorium Sound System,2071333.5
Network Printer for HO & Fac,1885640.0
Multimedia/LED,1793571.0
ETP Plant Maintenance Budget,1656000.0
AC - HGH,1591110.0
A&P Maseeha Advisory Board,1462892.0
Video conferecing Setup for ThinkTank,1453717.0
DT apparatus Qty 1,1448800.0
AI Based Tools/Software (ChatGPT etc.),1402809.0
KGH - Repair and Maintenance,1380455.23
SAP FIORI Centralization Activity,1346250.0
Annual Meetup ( HO + Factory) ,1228501.0
Eid Card Mega Event,1158991.82
File Server for Head Office,1128700.0
Repair & Maintenance Office,1036383.0
Laundry Racking & cupboards Qty Job,920000.0
ETP Plant Submersible Sewage Pump,782112.0
General Software/Applicaton Projects for HO and Factory,655433.33
SAP Storage Upgradation,619240.0
Evodian Premier League,582130.0
Women's Day,558432.08
Uniform,503441.0
 Employee Orientation Program (GROW),500170.0
Job Fair,475300.0
Network Scanner for HO & factory,464800.0
"CCTV Repair, Maintenance & Services  Qty Job",341550.0
Server for Head Office,321650.0
Employee Engagement,293982.0
LEL meter for monitoring of gas in confined space (i.e. underground water tank),230100.0
A&P Jahan e Maseeha TV,206950.0
Cloud Data Backup (Server and User Data for HO/Fac),192000.0
Employee Self Service (ESS) for Attendance and Leave Management,174800.0
Internship Program,165060.0
A&P Medical Affairs,154521.0
Water Dispensers Qty 4,148000.0
Digitization (Employee File Records),140113.57
Friability Tester Qty 1,135700.0
Entertainment,132500.0
Recruitment Kit,108550.0
A&P HRAB's CRC Across Pakistan,95511.0
A&P Training Of BMs/SMs/Ams/DMs/MMs/BMs/PMs,12920.0
Bi-Layer Compression Machine Qty 1,0.0
Purchase & installation of Equipment/Machines for Gym Qty Job,0.0
Replacement of existing 2 Nos. Old lifts with New imported lifts Qty Job,0.0
HO and Cafeteria Microphones,0.0
IT Rack for datacenter HO,0.0
MS Office 365 for Selected Users,0.0
Punch set  QTY 1,0.0
Square LED Lights Panel,0.0
