Doctor,Product,ActivityType,Amount
N/A - ,Adfolic,PRF,125232345.0
N/A - ,Avsar,PRF,125232345.0
N/A - ,Duzalta,PRF,125232345.0
N/A - ,ERLI,PRF,125232345.0
N/A - ,FEMOVA,PRF,125232345.0
N/A - ,Ferfer,PRF,125232345.0
N/A - ,Gouric,PRF,125232345.0
N/A - ,Gouric 80,PRF,125232345.0
N/A - ,Inosita,PRF,125232345.0
N/A - ,INOSITA PLUS XR,PRF,125232345.0
N/A - ,Kalsob,PRF,125232345.0
N/A - ,Onita,PRF,125232345.0
N/A - ,Tansin Family,PRF,125232345.0
N/A - ,Xcept,PRF,125232345.0
N/A - ,Xilica,PRF,125232345.0
N/A - ,Xplended,PRF,125232345.0
N/A - ,Xplended 20,PRF,125232345.0
N/A - ,Corporate Account Ad Pro,PRF,113235483.0
N/A - ,ALPHA,PRF,72145795.0
N/A - ,ARCHERS,PRF,72145795.0
N/A - ,BONE SAVIORs,PRF,72145795.0
N/A - ,BRAVO,PRF,72145795.0
N/A - ,CHALLENGERS,PRF,72145795.0
N/A - ,CHAMPIONS,PRF,72145795.0
N/A - ,ELITE,PRF,72145795.0
N/A - ,Falcons,PRF,72145795.0
N/A - ,GLADIATORS,PRF,72145795.0
N/A - ,INSTITUTIONAL,PRF,72145795.0
N/A - ,LEGENDS,PRF,72145795.0
N/A - ,MAVERICKS,PRF,72145795.0
N/A - ,METABOLIZERs,PRF,72145795.0
N/A - ,NAVIGATORS,PRF,72145795.0
N/A - ,OMRON (CLAIMABLE),PRF,72145795.0
N/A - ,ONCOLOGY,PRF,72145795.0
N/A - ,Strikers (R),PRF,72145795.0
N/A - ,THUNDERS,PRF,72145795.0
N/A - ,TITANS,PRF,72145795.0
N/A - ,TRANSFORMERs,PRF,72145795.0
N/A - ,WARRIORS,PRF,72145795.0
N/A - ,WINNERS,PRF,72145795.0
N/A - ,Corporate Account Ad Pro,PRF,38600165.0
N/A - ,Corporate Account Ad Pro,PRF,34819619.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
N/A - ,Corporate Account Ad Pro,PRF,26256974.0
