Year,Month,TotalSpend,Activities
2017,6,13056991.0,73
2017,7,72745299.15,649
2017,8,117788826.34,1776
2017,9,75719767.36,1369
2017,10,127982704.02,1709
2017,11,185484391.28,1605
2017,12,67774184.93,979
2018,1,49357213.09,731
2018,2,38006115.23,549
2018,3,50183414.28,571
2018,4,34697697.72,515
2018,5,41964644.92,319
2018,6,34169613.12,171
2018,7,144244788.77,888
2018,8,106581368.71,1619
2018,9,118723262.75,1922
2018,10,118818694.74,1578
2018,11,80578229.61,981
2018,12,73083893.33,638
2019,1,46172609.93,644
2019,2,37150110.78,448
2019,3,28442743.12,457
2019,4,34800781.12,573
2019,5,24475033.9,337
2019,6,37586015.68,212
2019,7,113317741.28,1714
2019,8,117262855.01,1370
2019,9,74279845.5,1061
2019,10,99790327.57,1457
2019,11,61630974.32,896
2019,12,38902254.3,643
2020,1,35068379.07,672
2020,2,43456322.76,622
2020,3,20784334.31,306
2020,4,10971191.4,112
2020,5,13928026.91,151
2020,6,36943298.87,660
2020,7,42586551.64,908
2020,8,35943854.2,698
2020,9,73338562.41,1453
2020,10,67710582.51,1198
2020,11,66392673.67,1168
2020,12,51830493.96,955
2021,1,54554281.97,760
2021,2,63534563.54,1178
2021,3,55307112.22,935
2021,4,42036284.27,621
2021,5,28459198.38,504
2021,6,41520046.12,577
2021,7,49923305.8,1026
2021,8,71783325.77,1576
2021,9,134626785.95,2230
2021,10,100611281.03,1705
2021,11,103716780.81,1410
2021,12,53414929.37,1049
2022,1,45798350.64,789
2022,2,87217461.58,1006
2022,3,59143572.47,1008
2022,4,104261100.53,800
2022,5,28219865.26,393
2022,6,39773159.77,364
2022,7,146302905.67,1784
2022,8,114589789.06,1669
2022,9,140953946.89,1424
2022,10,66043202.01,899
2022,11,80250381.26,787
2022,12,48388975.16,643
2023,1,49582594.1,663
2023,2,50126535.35,735
2023,3,48499629.88,610
2023,4,47645958.83,516
2023,5,25409383.74,306
2023,6,27347780.38,288
2023,7,98990496.2,1217
2023,8,159962575.96,1643
2023,9,80860654.34,883
2023,10,253097518.6,1462
2023,11,77423883.5,983
2023,12,47250884.92,488
2024,1,89393993.11,1031
2024,2,57899163.28,648
2024,3,49118176.84,680
2024,4,42784096.1,353
2024,5,61645755.56,526
2024,6,33161119.8,346
2024,7,193713722.59,1797
2024,8,151224069.4,1688
2024,9,71330811.41,763
2024,10,138866259.32,1438
2024,11,101828127.28,997
2024,12,78959272.28,687
2025,1,120095146.12,1034
2025,2,47677944.59,586
2025,3,54991373.26,487
2025,4,31885693.3,354
2025,5,42881689.32,400
2025,6,35099319.04,336
2025,7,457328604.34,2995
2025,8,139395149.44,1197
2025,9,115873450.33,703
2025,10,212908590.98,1494
2025,11,200611485.97,1642
2025,12,216449078.5,1540
2026,1,283970754.66,2114
2026,2,178059409.78,1694
