Product,ActivityType,TotalSpend,Activities
Corporate Account Ad Pro,PRF,1275483264.54,3010
Avsar,PRF,648737954.02,4943
Lowplat Plus,PRF,566694462.03,4497
Xplended 20,PRF,554686840.38,3690
Inosita,PRF,512820262.35,2992
INOSITA PLUS XR,PRF,454114720.95,2902
Gouric,PRF,447153016.33,2406
Lowplat,PRF,443735567.84,3582
Inosita Plus,PRF,416680101.06,3228
Xplended,PRF,401027032.65,2926
Xplended 5-10,PRF,394481774.5,2681
Ferfer,PRF,364524425.23,2349
Estar,PRF,354545414.82,3309
Nise,PRF,337251738.66,3925
Orslim,PRF,315830116.73,2528
Kalsob,PRF,312678505.38,2727
Adfolic,PRF,301486849.52,1191
Duzalta,PRF,275893009.87,1851
Avsar Plus,PRF,270926783.87,2665
ERLI,PRF,265049625.3,1271
Opt-D,PRF,257598748.9,2191
FEMOVA,PRF,256965751.5,1403
OMRON (CLAIMABLE),PRF,256388120.44,518
Gouric 80,PRF,243040329.83,894
Xilica,PRF,229321673.52,1413
Evocheck BGM,PRF,212780834.42,403
Xcept,PRF,199988696.79,727
Onita,PRF,198434888.47,902
Evopride Plus,PRF,184909808.97,1896
Lacteus,PRF,183865626.1,839
Ramipace,PRF,181963669.3,1565
Tansin Family,PRF,176332940.92,466
Phytus,PRF,160263471.68,548
Inosita Plus 50/850,PRF,146468418.0,845
Actiflor,PRF,145902847.51,636
SACVIN,PRF,145666181.62,1256
BYVAS,PRF,140940892.49,1838
Galvecta,PRF,135076666.5,1441
K1000,PRF,134130846.83,1592
Telsarta,PRF,125219665.6,1387
Adfolic OD,PRF,117925993.58,1789
Erli Plus XR,PRF,116603527.32,1092
Supercran,PRF,109535322.84,236
Institutional Ad Pro,PRF,108252519.0,487
ANPLAG,PRF,104050979.13,1065
Evopride,PRF,103823420.81,1036
Arbi,PRF,102936024.72,1529
Telsarta-A,PRF,102513662.16,1595
Erlina,PRF,99338749.47,803
TRANSFORMERs,PRF,98120020.2,20
CHALLENGERS,PRF,98089636.0,15
WINNERS,PRF,97656035.4,54
NAVIGATORS,PRF,97547266.4,55
METABOLIZERs,PRF,97285516.2,21
ELITE,PRF,97128707.0,13
BONE SAVIORs,PRF,97058312.0,18
MAVERICKS,PRF,95946750.0,17
TITANS,PRF,95496625.0,12
CHAMPIONS,PRF,95468547.4,30
ALPHA,PRF,95041880.05,31
LEGENDS,PRF,94075559.2,20
BRAVO,PRF,91744170.0,16
SheVit,PRF,89249307.13,852
WARRIORS,PRF,88345997.0,15
THUNDERS,PRF,86946018.86,25
Zoltar,PRF,84705733.64,905
GLADIATORS,PRF,84653328.24,31
ONCOLOGY,PRF,84350480.0,9
INSTITUTIONAL,PRF,82027979.0,11
ARCHERS,PRF,81715016.0,8
EvoJoshanda,PRF,81259538.02,108
Erli Plus,PRF,80367513.33,595
Strikers (R),PRF,79923310.0,3
Falcons,PRF,79706173.0,2
Dapwiz,PRF,79694345.06,875
Hifazat,PRF,69502064.0,41
Xcept B,PRF,69298157.57,615
Klevra,PRF,63308739.8,659
Zoval,PRF,58421520.46,307
Aireez,PRF,58165413.85,497
Avsar,Doctor Activity,57432710.0,455
LACTEUS NEW,PRF,57185637.64,340
Treatan,PRF,57055820.36,564
AGOVIZ,PRF,50981536.29,654
Retzole,PRF,50029495.96,650
Evofix Susp,PRF,49202520.31,559
PARIDOPA,PRF,48453401.98,599
Evokalm,PRF,47899890.47,535
Redexa,PRF,47849444.65,595
Xplended 5-10,Doctor Activity,47679291.0,475
ACTNISE,PRF,47182128.55,675
Axifer,PRF,46934139.48,339
Xplended 5,PRF,46889189.66,508
Myopro,PRF,43072484.62,763
Xplended EZ,PRF,42569515.2,276
Evofix Cap,PRF,42412820.34,636
Eglaro Family,PRF,40984134.85,315
Clearlax,PRF,40278863.89,170
Estar 5,PRF,39931946.17,295
Zibes,PRF,39142571.69,409
Dapwiz Plus XR,PRF,38220369.33,405
Vible,PRF,37215300.02,407
Fasteso,PRF,35862187.86,396
Xcept C,PRF,35527362.33,355
ZILERO,PRF,34741540.44,327
Ferfer Gro,PRF,33783952.4,425
POM,PRF,33031141.0,12
Xplended 20,Doctor Activity,32719162.0,272
IVADIN,PRF,32698478.62,414
Evocheck BPM,PRF,32689095.64,77
MFIT,PRF,32135308.64,264
Nozea,PRF,31747945.06,301
Lacteus Mama,PRF,31019168.0,10
Azliv,PRF,30165342.71,473
Zoltar Iv Injection,PRF,28763832.9,61
Galvecta Plus 500,PRF,28559064.63,425
Thewril,PRF,28439195.47,544
Dipof,PRF,28166351.54,220
Inosita Plus,Doctor Activity,27963483.0,363
Revolic,PRF,25955915.69,397
