Product,TotalSpend,Activities,AvgCost
Corporate Account Ad Pro,1275483264.54,3010,423748.59287
Avsar,705881859.02,5397,130791.524739
Xplended 20,588110742.38,3962,148437.845123
Lowplat Plus,569536450.03,4545,125310.550061
Inosita,513475039.35,3002,171044.316905
INOSITA PLUS XR,460014833.95,2994,153645.569121
Gouric,449856673.33,2468,182275.799566
Inosita Plus,444643584.06,3591,123821.660835
Lowplat,444472978.84,3585,123981.305115
Xplended 5-10,442102241.5,3154,140171.921845
Xplended,401027032.65,2926,137056.402136
Estar,368011731.82,3513,104757.111249
Ferfer,367418789.23,2416,152077.313423
Nise,350138781.66,4166,84046.755079
Kalsob,319527624.38,2859,111762.023217
Orslim,316786383.73,2548,124327.466142
Adfolic,305058784.52,1257,242687.974956
Avsar Plus,295232966.87,3032,97372.35055
Duzalta,278003047.87,1888,147247.377049
Opt-D,271388171.9,2327,116625.772195
ERLI,268425376.3,1326,202432.410482
FEMOVA,259811320.5,1451,179056.733631
OMRON (CLAIMABLE),256388120.44,518,494957.761467
Gouric 80,253677229.83,989,256498.715702
Xilica,234253042.52,1493,156900.899209
Evocheck BGM,212780834.42,403,527992.144962
Xcept,204169963.79,782,261086.910217
Onita,198863959.47,909,218772.23264
Evopride Plus,185673203.97,1911,97160.232323
Lacteus,183865626.1,839,219148.541239
Ramipace,181981316.3,1566,116207.7371
Tansin Family,176412436.92,471,374548.698343
Phytus,160263471.68,548,292451.590656
BYVAS,152962352.49,2009,76138.552757
SACVIN,147491736.62,1279,115318.01143
Inosita Plus 50/850,146508312.0,846,173177.673758
Actiflor,145902847.51,636,229406.99294
K1000,135491598.83,1626,83328.166562
Galvecta,135076666.5,1441,93738.144691
Telsarta,125513914.6,1396,89909.680945
Adfolic OD,118598884.58,1795,66071.801994
Erli Plus XR,116614777.32,1093,106692.385471
ANPLAG,110839347.13,1111,99765.388955
Supercran,109535322.84,236,464132.723898
Institutional Ad Pro,108252519.0,487,222284.433264
Evopride,104520706.81,1048,99733.498864
Erlina,103858599.47,874,118831.349508
Arbi,102936024.72,1529,67322.44913
Telsarta-A,102889020.16,1606,64065.392378
TRANSFORMERs,98120020.2,20,4906001.01
CHALLENGERS,98089636.0,15,6539309.066666
WINNERS,97656035.4,54,1808445.1
NAVIGATORS,97547266.4,55,1773586.661818
METABOLIZERs,97285516.2,21,4632643.628571
