RequestorTeams,TotalSpend,Activities
FINANCE,8652531081.95,14137
CHALLENGERS,880678859.79,7711
METABOLIZERS,771858322.84,9468
LEGENDS,685593251.36,9198
TITANS,541478681.79,5367
WINNERS,528453980.72,6566
ALPHA,489159595.57,4034
GLADIATORS,481697501.74,7482
MAVERICKS,447405237.11,6312
BONE SAVIORS,397538563.42,6098
BRAVO,380042915.77,6244
CHAMPIONS,365259104.69,3725
DIGITAL MARKETING,333332855.64,1851
WARRIORS,326206901.8,4268
TRANSFORMERS,315123217.86,3952
ELITE,300639995.26,3919
HUMAN RESOURCE,290766480.06,1346
"X-TREME,CHAMPIONS,ALPHA",281725702.22,420
SALES FORCE EFFECTIVENESS,251880510.46,351
ADMINISTRATION HEAD OFFICE,236277737.29,6210
Head Office,232324227.0,1582
CORPORATE COMMUNICATION,221335486.47,925
INTERNATIONAL MARKETS,198624962.18,3234
MIS,185505726.32,1992
NAVIGATORS,155758606.38,2111
"THUNDERS,Thunderbolt",142678606.24,971
PRODUCTION NON CEPH,139364200.0,3
X-TREME,128933796.74,2446
"WINNERS,NAVIGATORS",125667980.93,1462
"WARRIORS,GLADIATORS",114431272.76,1587
"THUNDERS (PREDATORS),THUNDERS",89014016.22,866
"WINNERS,Aviators",83356026.51,1163
MEDICAL AFFAIRS,70949054.5,399
CONQUEROR,56062019.71,937
"OMRON HEALTH CARE,EVOCHECK (TEAM),ARCHERS",54511931.69,232
"MAVERICKS,TITANS",52370851.46,906
Strikers (R),48540124.21,398
"SPRINTERS,NAVIGATORS",46993371.55,576
"LEGENDS,CHALLENGERS,BRAVO",43093559.0,150
SPRINTERS,42309414.29,566
"TRANSFORMERS,METABOLIZERS",40931813.0,92
PRODUCT DEVELOPMENT,40855105.0,9
EVOCHECK (TEAM),39589367.18,348
"ELITE,Rheumatology",38377381.45,347
INSTITUTIONAL,29312066.41,194
BUSINESS DEVELOPMENT,28557367.15,163
Aviators,26945433.7,227
ARCHERS,22115847.8,158
"WINNERS,TRANSFORMERS,METABOLIZERS,NAVIGATORS,Strikers (R)",19093131.0,60
OMRON HEALTH CARE,17781421.26,160
ONCOLOGY,16944704.49,226
QUALITY CONTROL,16451053.71,12
"LEGENDS,CHALLENGERS,CHAMPIONS,BRAVO,ALPHA",16272827.0,45
"INSTITUTIONAL,ONCOLOGY,Strikers",13319464.16,106
ENGINEERING,12715563.0,16
"EVOCHECK (TEAM),OMRON HEALTH CARE",10453977.58,115
"INSTITUTIONAL,BD SYRINGE (TEAM)",10382584.8,142
"OMRON HEALTH CARE,BD SYRINGE (TEAM)",10012403.0,124
"BD SYRINGE (TEAM),ARCHERS",8630295.0,41
LEARNING & DEVELOPMENT,6889829.51,229
"ADMINISTRATION HEAD OFFICE,MARKETING",6540837.0,36
PRODUCTION CEPH,5653800.0,18
"WINNERS,TRANSFORMERS,METABOLIZERS,NAVIGATORS",5108106.68,84
"BONE SAVIORS,INSTITUTIONAL,ELITE,BD SYRINGE (TEAM),ONCOLOGY,THUNDERS",3881033.34,16
"BONE SAVIORS,ELITE,ONCOLOGY",3820325.0,38
"OMRON HEALTH CARE,EVOCHECK (TEAM)",3794321.2,91
LEARNING &amp; DEVELOPMENT,3673970.15,135
HI-FLIERS,2769653.0,55
"WINNERS,SPRINTERS,NAVIGATORS",2674080.0,16
HSE / ISO Compliance,2668212.0,6
